@relation 'ipo3-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last_clustered'

@attribute Instance_number numeric
@attribute 1_day numeric
@attribute 30_day numeric
@attribute 60_day numeric
@attribute month numeric
@attribute underwriter=barclays numeric
@attribute 'underwriter=BofA Merrill Lynch' numeric
@attribute underwriter=citi numeric
@attribute 'underwriter=Credit Suisse' numeric
@attribute 'underwriter=Deutsche Bank?' numeric
@attribute 'underwriter=Goldman Sach' numeric
@attribute 'underwriter=J.P. Morgan' numeric
@attribute 'underwriter=Morgan Stanley' numeric
@attribute underwriter=other numeric
@attribute grade1 {T,F}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11}

@data
66,41.88,92.41,129.24,10,0,0,0,0,0,0,0,1,0,T,cluster2
67,-0.4,23.6,25.7,9,0,0,0,0,0,0,0,0,1,T,cluster5
68,1.31,-4.11,10.18,10,0,0,0,0,0,0,0,0,1,T,cluster5
69,6.1,16.4,69.8,10,0,0,0,0,0,0,0,0,1,T,cluster5
70,0,0.1,11,12,0,0,0,0,0,0,0,0,1,T,cluster5
71,23.1,44.6,30.9,9,0,0,0,0,0,0,0,0,1,F,cluster9
72,0,2.22,-1.04,12,0,0,0,0,0,0,0,0,1,T,cluster5
73,10.33,0,-6.67,10,0,0,0,0,0,0,0,0,1,T,cluster5
74,0.1,0.6,0.2,10,0,0,0,0,0,0,0,0,1,T,cluster5
75,70.71,82.14,180.43,12,0,0,0,0,0,0,0,0,1,T,cluster5
76,29,56.67,68.73,10,0,0,0,0,0,0,0,0,1,T,cluster5
77,7.69,0.77,-6.04,11,0,0,0,0,0,0,0,0,1,F,cluster9
78,19.55,54.55,15.77,9,0,0,0,0,0,0,0,0,1,T,cluster5
79,6.5,24,16.55,1,0,0,0,0,0,0,0,0,1,T,cluster5
80,5.77,5.27,13.68,9,0,0,0,0,0,0,0,0,1,T,cluster5
81,13.52,16.33,15.11,9,0,0,0,0,0,0,0,0,1,T,cluster5
82,0.5,0.5,0.8,10,0,0,0,0,0,0,0,0,1,T,cluster5
83,17.36,71.64,75,1,0,0,0,0,0,0,0,0,1,F,cluster9
84,12.62,15.5,111,1,0,0,0,0,0,0,0,0,1,T,cluster5
85,-2.56,1.54,-0.21,12,0,0,0,0,0,0,0,0,1,F,cluster9
86,-8.54,-29,-10.85,10,0,0,0,0,0,0,0,0,1,F,cluster9
87,0,32.5,24.71,12,0,0,0,0,0,0,0,0,1,F,cluster9
88,0,0.6,0.3,2,0,0,0,0,0,0,0,0,1,T,cluster5
89,206.67,144.8,88.33,1,0,0,0,0,0,0,0,0,1,F,cluster9
90,13.15,42.38,16.54,2,0,0,0,0,0,0,0,0,1,F,cluster9
91,0,24.92,6.5,2,0,0,0,0,0,0,0,0,1,F,cluster9
92,121.54,353.77,175.31,10,0,0,0,0,0,0,0,0,1,F,cluster9
93,17,-16.58,-19,3,0,0,0,0,0,0,0,0,1,F,cluster9
94,-22,-21.89,-63.44,9,0,0,0,0,0,0,0,0,1,F,cluster9
95,-14.47,-3.33,-20.8,2,0,0,0,0,0,0,0,0,1,F,cluster9
96,8.64,6.27,-4,3,0,0,0,0,0,0,0,0,1,F,cluster9
97,1.29,-2.57,-22.57,2,0,0,0,0,0,0,0,0,1,F,cluster9
98,-14.06,-7.53,-9.18,2,0,0,0,0,0,0,0,0,1,F,cluster9
99,6,-29.56,-47.19,3,0,0,0,0,0,0,0,0,1,F,cluster9
100,-0.14,-19.29,-28.71,2,0,0,0,0,0,0,0,0,1,F,cluster9
101,-6,-17.9,-27.9,2,0,0,0,0,0,0,0,0,1,F,cluster9
102,3.75,-12.5,-21.88,3,0,0,0,0,0,0,0,0,1,F,cluster9
103,-3.83,-18,-40.17,2,0,0,0,0,0,0,0,0,1,F,cluster9
