@relation 'ipo3-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1'

@attribute K1 numeric
@attribute K2 numeric
@attribute grade1 {T,F}

@data
57.867817,73.802685,T
-3.983717,-32.562555,T
86.60254,90.499655,T
61.990098,30.068402,F
37.394977,21.80652,T
13.96033,-4.035678,T
20.78461,6.928203,T
73.352352,79.050799,T
35.992016,11.25833,T
125.573684,205.57711,F
85.927041,76.296838,T
193.868447,384.030305,F
27.054634,34.08676,F
184.636616,214.7743,F
40.945681,40.166258,T
39.473438,20.420879,T
19.745379,1.03923,T
74.478185,85.736515,T
47.198385,50.368037,T
88.196027,70.303942,T
57.798535,33.324658,T
58.422074,75.586697,T
-3.75855,3.169653,F
60.206086,56.638061,T
-3.983717,-24.075506,T
126.12794,193.054383,T
162.501007,274.876463,T
6.062178,-22.51666,F
32.995568,25.201339,T
121.71121,132.571169,T
39.057746,63.929995,F
62.786842,77.249466,F
19.468251,15.900226,T
2.598076,1.212436,T
426.084499,500.424119,T
76.643248,79.241324,T
6.581793,-20.957815,T
51.234063,23.088237,T
85.078336,108.512983,F
36.632875,20.646046,T
103.351472,140.018987,T
223.347952,309.20571,F
54.767447,108.461022,F
24.248711,170.607005,F
-8.227241,244.219164,F
53.347165,109.292406,F
-51.667076,-52.966114,F
160.924841,265.471427,F
251.805546,423.607666,T
25.062775,-7.274613,T
-48.705269,-108.564945,F
52.307934,33.134132,T
34.08676,39.56004,F
148.956369,177.240759,T
294.344714,448.687762,F
107.161983,122.300108,T
-27.193198,-34.121401,F
210.063122,225.166605,T
33.255376,6.408588,T
317.277067,315.077362,T
83.294323,105.34333,T
-5.750409,-20.78461,T
26.535018,196.275998,F
32.649158,18.654187,F
163.938609,295.22806,F
-3.048409,69.593801,F
241.170754,296.388534,T
60.102163,43.820885,T
34.952785,19.901264,T
138.217654,131.462656,T
39.837169,19.052559,T
69.108827,93.530744,F
18.983277,-1.801333,T
5.767729,6.339306,T
17.666918,0.519615,T
333.298537,434.98724,T
136.36436,169.273325,T
8.590972,2.857884,F
42.902899,61.176035,T
30.397492,39.923771,T
39.282912,33.688388,T
41.759745,49.588615,T
18.706149,2.251666,T
131.635861,159.972213,F
193.98969,214.116121,T
20.420879,-4.797781,F
-1.472243,-33.584465,F
63.583585,42.798975,F
3.983717,0.519615,T
154.724099,510.954988,F
32.112222,51.424588,F
14.722432,11.25833,F
320.966335,514.159282,F
-27.712813,-3.464102,F
-94.292846,-147.986421,F
-32.562555,-61.089432,F
-1.732051,8.036716,F
-35.628285,-36.858041,F
-12.436125,-40.252861,F
-76.539325,-71.343173,F
-46.263077,-49.969666,F
-44.860116,-58.716522,F
-32.701119,-31.402081,F
-66.112379,-76.210236,F
