@relation 'ipo3-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.RandomProjection-N2-R62-DSparse1'

@attribute K1 numeric
@attribute K2 numeric
@attribute grade1 {T,F}

@data
1.732051,0,T
1.732051,0,T
1.732051,0,T
1.732051,0,F
1.732051,0,T
1.732051,0,T
0,1.732051,T
0,1.732051,T
0,1.732051,T
0,1.732051,F
0,1.732051,T
0,1.732051,F
0,1.732051,F
0,1.732051,F
0,1.732051,T
0,1.732051,T
0,1.732051,T
0,1.732051,T
0,1.732051,T
0,1.732051,T
0,1.732051,T
0,1.732051,T
0,1.732051,F
0,0,T
0,0,T
0,0,T
0,0,T
0,0,F
0,0,T
0,0,T
0,0,F
0,0,F
0,0,T
0,0,T
0,0,T
0,1.732051,T
0,1.732051,T
0,1.732051,T
0,1.732051,F
0,1.732051,T
0,1.732051,T
0,1.732051,F
0,1.732051,F
0,1.732051,F
0,1.732051,F
0,1.732051,F
0,1.732051,F
0,1.732051,F
0,0,T
0,0,T
0,0,F
0,0,T
0,0,F
0,0,T
0,0,F
0,0,T
0,0,F
0,0,T
0,0,T
0,0,T
0,0,T
0,0,T
0,0,F
0,0,F
0,0,F
0,0,F
0,0,T
0,0,T
0,0,T
0,0,T
0,0,T
0,0,F
0,0,T
0,0,T
0,0,T
0,0,T
0,0,T
0,0,F
0,0,T
0,0,T
0,0,T
0,0,T
0,0,T
0,0,F
0,0,T
0,0,F
0,0,F
0,0,F
0,0,T
0,0,F
0,0,F
0,0,F
0,0,F
0,0,F
0,0,F
0,0,F
0,0,F
0,0,F
0,0,F
0,0,F
0,0,F
0,0,F
0,0,F
0,0,F
