@relation 'ipo3-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.RandomProjection-N2-R52-DSparse1'

@attribute K1 numeric
@attribute K2 numeric
@attribute grade1 {T,F}

@data
-24.958852,12.055074,T
36.892682,14.376022,T
-84.87049,15.155445,T
-25.617031,24.993493,F
-4.486012,33.619106,T
18.948636,23.86766,T
13.856406,17.493713,T
-38.711336,40.443386,T
2.113102,34.259965,T
-90.932667,16.558406,F
-51.286024,45.414372,T
-159.227431,36.996605,F
7.586383,12.124356,F
-146.531498,94.344807,F
-6.304665,8.435087,T
-1.36832,36.009336,T
18.359739,17.666918,T
-67.549981,-18.359739,T
-12.557368,20.646046,T
-81.267824,-64.363008,T
-19.693418,28.145826,T
-54.957972,15.276688,T
7.222652,-15.242047,F
-18.636867,38.105118,T
7.447818,7.534421,T
-84.55872,17.961367,T
-119.199737,19.243084,T
33.774991,19.918584,F
10.305702,18.359739,T
-81.874042,28.024582,T
-30.397492,-10.704074,F
-22.949673,28.665441,F
-10.807997,3.169653,T
2.598076,1.558846,T
-386.24733,200.519522,T
-35.074029,35.247234,T
34.987426,16.974098,T
-16.593047,45.310449,T
-50.43732,36.788759,F
-1.991858,23.17484,T
-65.246354,47.198385,T
-181.778732,81.82208,F
-23.590532,-19.173802,F
-13.856406,-25.547749,F
18.619546,-19.918584,F
-15.242047,-37.931913,F
58.595279,-32.614517,F
-122.819723,22.447378,F
-248.341445,-34.883503,T
13.042343,29.687351,T
86.810386,13.509996,F
-17.666918,46.540205,T
0.554256,5.594524,F
-110.851252,38.832579,T
-256.239596,76.002389,F
-65.592764,37.949233,T
30.657299,-18.013328,F
-171.958004,161.756225,T
4.849742,29.444864,T
-279.171949,82.341695,T
-48.653307,38.728656,T
9.21451,-2.944486,T
-19.606815,-76.435402,F
1.991858,32.908965,F
-129.297593,2.944486,F
6.512511,-63.06397,F
-206.529738,81.111939,T
-30.657299,19.225764,T
-2.04382,42.071514,T
-105.308689,109.812021,T
0,39.663963,T
-39.663963,-8.140639,F
20.853892,15.138124,T
27.141236,5.767729,T
15.242047,16.627688,T
-293.461368,191.027884,T
-103.455395,38.209041,T
27.782095,7.257293,F
-13.458035,-51.580473,T
-28.665441,-11.171728,T
-9.838049,30.155005,T
-12.314881,13.475355,T
14.202817,17.840123,T
-129.903811,7.551742,F
-192.25764,167.142903,T
19.41629,17.753521,F
34.381209,48.75723,F
-23.746417,7.291934,F
1.212436,2.944486,T
-152.992048,-96.076858,F
-26.91607,-41.292091,F
-9.526279,-28.440274,F
-288.05737,-291.781279,F
36.373067,1.004589,F
123.73771,-56.378254,F
37.758708,-26.794826,F
10.392305,-12.592009,F
40.824438,-31.176915,F
17.632277,0.606218,F
85.199579,-25.339903,F
51.459229,-12.851817,F
50.056268,-13.856406,F
41.361373,-11.050484,F
71.308532,-34.935465,F
