@relation 'ipo3-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.RandomProjection-N2-R72-DSparse1'

@attribute K1 numeric
@attribute K2 numeric
@attribute grade1 {T,F}

@data
1.732051,-88.092104,T
1.732051,37.931913,T
1.732051,-158.049636,T
1.732051,-81.666196,F
1.732051,-25.58239,T
1.732051,11.535458,T
0,-5.022947,T
0,-87.208758,T
0,-16.939457,T
0,-215.536402,F
0,-107.38715,T
0,-331.68773,F
0,-22.932353,F
0,-254.143815,F
0,-54.403716,T
-1.732051,-22.15293,T
-1.732051,-1.03923,T
-1.732051,-162.119956,T
-1.732051,-54.698165,T
-1.732051,-235.55891,T
-1.732051,-66.666636,T
-1.732051,-98.103358,T
-1.732051,-4.260845,F
0,-58.058343,T
0,20.698007,T
0,-210.045801,T
0,-284.974319,T
0,26.846788,F
0,-26.846788,T
0,-196.34528,T
0,-85.355464,F
0,-77.855684,F
0,-32.302748,T
0,-1.905256,T
0,-632.596916,T
0,-97.254653,T
0,24.595121,T
0,-39.837169,T
0,-116.047404,F
0,-32.770401,T
0,-140.452,T
0,-344.089213,F
0,-113.120238,F
0,-68.84902,F
0,1.732051,F
0,-125.573684,F
0,74.183736,F
0,-280.349744,F
-1.732051,-536.762545,T
-1.732051,-1.385641,T
-1.732051,129.973093,F
-1.732051,-40.755156,T
-1.732051,-45.258488,F
-1.732051,-240.027601,T
-1.732051,-493.63448,F
-1.732051,-155.590124,T
-1.732051,38.105118,F
0,-239.31746,T
0,-18.013328,T
0,-533.15988,T
0,-110.539483,T
0,10.288382,T
0,-126.041337,F
0,-15.068842,F
0,-307.612223,F
0,-55.2351,F
0,-383.909061,T
0,-83.658054,T
0,-8.781498,T
0,-147.570729,T
0,-17.493713,T
0,-129.037785,F
0,-0.311769,T
0,13.28483,T
0,0.34641,T
0,-453.05253,T
0,-215.46712,T
0,10.859959,F
0,-120.065762,T
0,-68.502609,T
0,-31.090312,T
0,-52.723627,T
0,-0.519615,T
0,-252.25588,F
0,-217.372376,T
0,-0.571577,F
0,70.754275,F
0,-97.358576,F
0,0.173205,T
0,-402.060954,F
0,-100.320383,F
0,-52.688986,F
0,-914.66139,F
0,63.358419,F
0,149.527946,F
0,43.526437,F
0,-2.199705,F
0,45.275808,F
0,30.67462,F
0,134.66695,F
0,84.87049,F
0,81.059978,F
0,61.279958,F
0,102.485446,F
